filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,174069,"{}",6,0,"{""name"":""rect"",""x"":260,""y"":81,""width"":269,""height"":50}","{}"
1.jpg,174069,"{}",6,1,"{""name"":""rect"",""x"":302,""y"":186,""width"":70,""height"":46}","{}"
1.jpg,174069,"{}",6,2,"{""name"":""rect"",""x"":375,""y"":188,""width"":78,""height"":47}","{}"
1.jpg,174069,"{}",6,3,"{""name"":""rect"",""x"":299,""y"":449,""width"":37,""height"":42}","{}"
1.jpg,174069,"{}",6,4,"{""name"":""rect"",""x"":292,""y"":524,""width"":214,""height"":46}","{}"
1.jpg,174069,"{}",6,5,"{""name"":""rect"",""x"":567,""y"":529,""width"":132,""height"":34}","{}"
2.png,705678,"{}",6,0,"{""name"":""rect"",""x"":262,""y"":73,""width"":239,""height"":39}","{}"
2.png,705678,"{}",6,1,"{""name"":""rect"",""x"":310,""y"":162,""width"":66,""height"":33}","{}"
2.png,705678,"{}",6,2,"{""name"":""rect"",""x"":378,""y"":156,""width"":79,""height"":44}","{}"
2.png,705678,"{}",6,3,"{""name"":""rect"",""x"":306,""y"":387,""width"":58,""height"":36}","{}"
2.png,705678,"{}",6,4,"{""name"":""rect"",""x"":311,""y"":455,""width"":195,""height"":35}","{}"
2.png,705678,"{}",6,5,"{""name"":""rect"",""x"":525,""y"":455,""width"":142,""height"":39}","{}"
3.jpg,131139,"{}",6,0,"{""name"":""rect"",""x"":106,""y"":17,""width"":123,""height"":26}","{}"
3.jpg,131139,"{}",6,1,"{""name"":""rect"",""x"":127,""y"":68,""width"":40,""height"":22}","{}"
3.jpg,131139,"{}",6,2,"{""name"":""rect"",""x"":165,""y"":71,""width"":49,""height"":18}","{}"
3.jpg,131139,"{}",6,3,"{""name"":""rect"",""x"":125,""y"":182,""width"":28,""height"":24}","{}"
3.jpg,131139,"{}",6,4,"{""name"":""rect"",""x"":128,""y"":224,""width"":100,""height"":17}","{}"
3.jpg,131139,"{}",6,5,"{""name"":""rect"",""x"":239,""y"":225,""width"":72,""height"":19}","{}"
4.jpg,14777,"{}",6,0,"{""name"":""rect"",""x"":65,""y"":8,""width"":76,""height"":17}","{}"
4.jpg,14777,"{}",6,1,"{""name"":""rect"",""x"":78,""y"":42,""width"":43,""height"":16}","{}"
4.jpg,14777,"{}",6,2,"{""name"":""rect"",""x"":120,""y"":40,""width"":46,""height"":19}","{}"
4.jpg,14777,"{}",6,3,"{""name"":""rect"",""x"":74,""y"":107,""width"":24,""height"":14}","{}"
4.jpg,14777,"{}",6,4,"{""name"":""rect"",""x"":74,""y"":125,""width"":69,""height"":14}","{}"
4.jpg,14777,"{}",6,5,"{""name"":""rect"",""x"":145,""y"":125,""width"":44,""height"":15}","{}"
5.jpg,50291,"{}",6,0,"{""name"":""rect"",""x"":171,""y"":27,""width"":175,""height"":40}","{}"
5.jpg,50291,"{}",6,1,"{""name"":""rect"",""x"":190,""y"":105,""width"":50,""height"":27}","{}"
5.jpg,50291,"{}",6,2,"{""name"":""rect"",""x"":245,""y"":104,""width"":95,""height"":29}","{}"
5.jpg,50291,"{}",6,3,"{""name"":""rect"",""x"":186,""y"":279,""width"":48,""height"":22}","{}"
5.jpg,50291,"{}",6,4,"{""name"":""rect"",""x"":192,""y"":325,""width"":136,""height"":31}","{}"
5.jpg,50291,"{}",6,5,"{""name"":""rect"",""x"":369,""y"":326,""width"":86,""height"":27}","{}"
6.jpg,52988,"{}",6,0,"{""name"":""rect"",""x"":145,""y"":37,""width"":153,""height"":39}","{}"
6.jpg,52988,"{}",6,1,"{""name"":""rect"",""x"":167,""y"":108,""width"":51,""height"":25}","{}"
6.jpg,52988,"{}",6,2,"{""name"":""rect"",""x"":217,""y"":104,""width"":77,""height"":30}","{}"
6.jpg,52988,"{}",6,3,"{""name"":""rect"",""x"":169,""y"":245,""width"":25,""height"":20}","{}"
6.jpg,52988,"{}",6,4,"{""name"":""rect"",""x"":155,""y"":287,""width"":127,""height"":24}","{}"
6.jpg,52988,"{}",6,5,"{""name"":""rect"",""x"":318,""y"":285,""width"":86,""height"":25}","{}"
7.jpg,208540,"{}",6,0,"{""name"":""rect"",""x"":137,""y"":25,""width"":160,""height"":25}","{}"
7.jpg,208540,"{}",6,1,"{""name"":""rect"",""x"":159,""y"":93,""width"":47,""height"":25}","{}"
7.jpg,208540,"{}",6,2,"{""name"":""rect"",""x"":206,""y"":89,""width"":70,""height"":31}","{}"
7.jpg,208540,"{}",6,3,"{""name"":""rect"",""x"":165,""y"":242,""width"":28,""height"":18}","{}"
7.jpg,208540,"{}",6,4,"{""name"":""rect"",""x"":167,""y"":280,""width"":132,""height"":18}","{}"
7.jpg,208540,"{}",6,5,"{""name"":""rect"",""x"":316,""y"":276,""width"":87,""height"":19}","{}"
8.jpg,97865,"{}",6,0,"{""name"":""rect"",""x"":214,""y"":39,""width"":285,""height"":52}","{}"
8.jpg,97865,"{}",6,1,"{""name"":""rect"",""x"":261,""y"":147,""width"":105,""height"":36}","{}"
8.jpg,97865,"{}",6,2,"{""name"":""rect"",""x"":372,""y"":137,""width"":104,""height"":52}","{}"
8.jpg,97865,"{}",6,3,"{""name"":""rect"",""x"":259,""y"":414,""width"":47,""height"":43}","{}"
8.jpg,97865,"{}",6,4,"{""name"":""rect"",""x"":265,""y"":496,""width"":220,""height"":49}","{}"
8.jpg,97865,"{}",6,5,"{""name"":""rect"",""x"":512,""y"":506,""width"":157,""height"":40}","{}"
9.jpg,508172,"{}",6,0,"{""name"":""rect"",""x"":202,""y"":11,""width"":282,""height"":61}","{}"
9.jpg,508172,"{}",6,1,"{""name"":""rect"",""x"":276,""y"":136,""width"":104,""height"":32}","{}"
9.jpg,508172,"{}",6,2,"{""name"":""rect"",""x"":386,""y"":128,""width"":119,""height"":49}","{}"
9.jpg,508172,"{}",6,3,"{""name"":""rect"",""x"":273,""y"":401,""width"":39,""height"":48}","{}"
9.jpg,508172,"{}",6,4,"{""name"":""rect"",""x"":282,""y"":485,""width"":223,""height"":33}","{}"
9.jpg,508172,"{}",6,5,"{""name"":""rect"",""x"":531,""y"":478,""width"":157,""height"":33}","{}"
10.png,571426,"{}",6,0,"{""name"":""rect"",""x"":191,""y"":32,""width"":164,""height"":37}","{}"
10.png,571426,"{}",6,1,"{""name"":""rect"",""x"":228,""y"":100,""width"":106,""height"":35}","{}"
10.png,571426,"{}",6,2,"{""name"":""rect"",""x"":340,""y"":102,""width"":80,""height"":26}","{}"
10.png,571426,"{}",6,3,"{""name"":""rect"",""x"":226,""y"":266,""width"":25,""height"":26}","{}"
10.png,571426,"{}",6,4,"{""name"":""rect"",""x"":226,""y"":318,""width"":138,""height"":25}","{}"
10.png,571426,"{}",6,5,"{""name"":""rect"",""x"":380,""y"":322,""width"":85,""height"":21}","{}"
11.png,687421,"{}",6,0,"{""name"":""rect"",""x"":163,""y"":24,""width"":191,""height"":30}","{}"
11.png,687421,"{}",6,1,"{""name"":""rect"",""x"":205,""y"":93,""width"":52,""height"":24}","{}"
11.png,687421,"{}",6,2,"{""name"":""rect"",""x"":263,""y"":88,""width"":60,""height"":33}","{}"
11.png,687421,"{}",6,3,"{""name"":""rect"",""x"":207,""y"":268,""width"":31,""height"":21}","{}"
11.png,687421,"{}",6,4,"{""name"":""rect"",""x"":209,""y"":316,""width"":150,""height"":24}","{}"
11.png,687421,"{}",6,5,"{""name"":""rect"",""x"":373,""y"":319,""width"":96,""height"":21}","{}"
12.jpg,53745,"{}",6,0,"{""name"":""rect"",""x"":112,""y"":23,""width"":198,""height"":47}","{}"
12.jpg,53745,"{}",6,1,"{""name"":""rect"",""x"":163,""y"":104,""width"":110,""height"":28}","{}"
12.jpg,53745,"{}",6,2,"{""name"":""rect"",""x"":278,""y"":102,""width"":114,""height"":27}","{}"
12.jpg,53745,"{}",6,3,"{""name"":""rect"",""x"":177,""y"":265,""width"":24,""height"":23}","{}"
12.jpg,53745,"{}",6,4,"{""name"":""rect"",""x"":177,""y"":312,""width"":141,""height"":19}","{}"
12.jpg,53745,"{}",6,5,"{""name"":""rect"",""x"":326,""y"":310,""width"":87,""height"":19}","{}"
13.jpg,108512,"{}",6,0,"{""name"":""rect"",""x"":275,""y"":37,""width"":304,""height"":69}","{}"
13.jpg,108512,"{}",6,1,"{""name"":""rect"",""x"":332,""y"":184,""width"":116,""height"":42}","{}"
13.jpg,108512,"{}",6,2,"{""name"":""rect"",""x"":449,""y"":176,""width"":83,""height"":55}","{}"
13.jpg,108512,"{}",6,3,"{""name"":""rect"",""x"":330,""y"":474,""width"":60,""height"":47}","{}"
13.jpg,108512,"{}",6,4,"{""name"":""rect"",""x"":334,""y"":567,""width"":249,""height"":50}","{}"
13.jpg,108512,"{}",6,5,"{""name"":""rect"",""x"":611,""y"":580,""width"":159,""height"":38}","{}"
14.jpg,23676,"{}",6,0,"{""name"":""rect"",""x"":137,""y"":26,""width"":141,""height"":34}","{}"
14.jpg,23676,"{}",6,1,"{""name"":""rect"",""x"":161,""y"":91,""width"":47,""height"":29}","{}"
14.jpg,23676,"{}",6,2,"{""name"":""rect"",""x"":212,""y"":89,""width"":52,""height"":31}","{}"
14.jpg,23676,"{}",6,3,"{""name"":""rect"",""x"":164,""y"":234,""width"":27,""height"":23}","{}"
14.jpg,23676,"{}",6,4,"{""name"":""rect"",""x"":175,""y"":273,""width"":109,""height"":21}","{}"
14.jpg,23676,"{}",6,5,"{""name"":""rect"",""x"":298,""y"":271,""width"":78,""height"":23}","{}"
15.jpg,26176,"{}",6,0,"{""name"":""rect"",""x"":91,""y"":12,""width"":106,""height"":19}","{}"
15.jpg,26176,"{}",6,1,"{""name"":""rect"",""x"":110,""y"":62,""width"":53,""height"":19}","{}"
15.jpg,26176,"{}",6,2,"{""name"":""rect"",""x"":160,""y"":59,""width"":39,""height"":23}","{}"
15.jpg,26176,"{}",6,3,"{""name"":""rect"",""x"":108,""y"":162,""width"":24,""height"":16}","{}"
15.jpg,26176,"{}",6,4,"{""name"":""rect"",""x"":114,""y"":196,""width"":85,""height"":16}","{}"
15.jpg,26176,"{}",6,5,"{""name"":""rect"",""x"":206,""y"":194,""width"":70,""height"":17}","{}"
16.jpg,102340,"{}",6,0,"{""name"":""rect"",""x"":236,""y"":33,""width"":311,""height"":72}","{}"
16.jpg,102340,"{}",6,1,"{""name"":""rect"",""x"":314,""y"":157,""width"":108,""height"":50}","{}"
16.jpg,102340,"{}",6,2,"{""name"":""rect"",""x"":426,""y"":152,""width"":198,""height"":56}","{}"
16.jpg,102340,"{}",6,3,"{""name"":""rect"",""x"":332,""y"":440,""width"":45,""height"":45}","{}"
16.jpg,102340,"{}",6,4,"{""name"":""rect"",""x"":329,""y"":532,""width"":234,""height"":38}","{}"
16.jpg,102340,"{}",6,5,"{""name"":""rect"",""x"":592,""y"":527,""width"":169,""height"":45}","{}"
17.jpg,28210,"{}",6,0,"{""name"":""rect"",""x"":87,""y"":13,""width"":110,""height"":23}","{}"
17.jpg,28210,"{}",6,1,"{""name"":""rect"",""x"":113,""y"":54,""width"":37,""height"":20}","{}"
17.jpg,28210,"{}",6,2,"{""name"":""rect"",""x"":152,""y"":57,""width"":18,""height"":17}","{}"
17.jpg,28210,"{}",6,3,"{""name"":""rect"",""x"":110,""y"":158,""width"":26,""height"":18}","{}"
